Episode reward: 0.850	Steps: 16	Avg. loss: 0.0	Avg. reward: 0.85	Avg. Q: 1.0	Greedinessless: 0.85	Vanilla reward: 24.000
Episode reward: 0.920	Steps: 6448	Avg. loss: 0.002162378882834067	Avg. reward: -0.3028000000000002	Avg. Q: 0.8326637811130948	Greedinessless: 0.02	Vanilla reward: 57.000
Episode reward: 0.710	Steps: 6478	Avg. loss: 0.005663301121655552	Avg. reward: -0.28820000000000023	Avg. Q: 0.8194083140956031	Greedinessless: 0.02	Vanilla reward: -57.000
Episode reward: 0.920	Steps: 6487	Avg. loss: 0.0036625564680434763	Avg. reward: -0.2715000000000002	Avg. Q: 0.8045777281125387	Greedinessless: 0.02	Vanilla reward: 57.000
Episode reward: -0.750	Steps: 6562	Avg. loss: 0.0024846916649518165	Avg. reward: -0.2715000000000002	Avg. Q: 0.7809438170327081	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 6637	Avg. loss: 0.004846797383690596	Avg. reward: -0.2851000000000002	Avg. Q: 0.772802279525333	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 6712	Avg. loss: 0.0021490412990188864	Avg. reward: -0.3025000000000002	Avg. Q: 0.7733995744917128	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: 0.990	Steps: 6714	Avg. loss: 0.0	Avg. reward: -0.30160000000000003	Avg. Q: 0.8530356486638387	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: -0.750	Steps: 6789	Avg. loss: 0.003538494927565089	Avg. reward: -0.3183000000000001	Avg. Q: 0.8249151844448513	Greedinessless: 0.02	Vanilla reward: -405.000
Episode reward: -0.750	Steps: 6864	Avg. loss: 0.0020956142832705823	Avg. reward: -0.33519999999999994	Avg. Q: 0.7919273895687527	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 6939	Avg. loss: 0.0022920993588842167	Avg. reward: -0.35069999999999996	Avg. Q: 0.7687848536173503	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 7014	Avg. loss: 0.0021295703790153646	Avg. reward: -0.35069999999999996	Avg. Q: 0.7866719802220662	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 7089	Avg. loss: 0.0013967084941166256	Avg. reward: -0.35070000000000007	Avg. Q: 0.7509637178315056	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 7164	Avg. loss: 0.001960661021018352	Avg. reward: -0.35070000000000007	Avg. Q: 0.7791682709587945	Greedinessless: 0.02	Vanilla reward: -380.000
Episode reward: -0.750	Steps: 7239	Avg. loss: 0.002879350233544958	Avg. reward: -0.3507000000000001	Avg. Q: 0.7556773471832275	Greedinessless: 0.02	Vanilla reward: -325.000
Episode reward: -0.750	Steps: 7314	Avg. loss: 0.0020696605941721877	Avg. reward: -0.35070000000000023	Avg. Q: 0.7438145947456359	Greedinessless: 0.02	Vanilla reward: -325.000
Episode reward: 0.990	Steps: 7316	Avg. loss: 0.006350383162498474	Avg. reward: -0.3333000000000002	Avg. Q: 0.8221696019172668	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: 0.920	Steps: 7325	Avg. loss: 0.00019243945280322805	Avg. reward: -0.3166000000000001	Avg. Q: 0.8062072484581558	Greedinessless: 0.02	Vanilla reward: 57.000
Episode reward: -0.750	Steps: 7400	Avg. loss: 0.002296889505248002	Avg. reward: -0.31660000000000016	Avg. Q: 0.7783842778205872	Greedinessless: 0.02	Vanilla reward: -410.000
Episode reward: -0.750	Steps: 7475	Avg. loss: 0.0022532861957087233	Avg. reward: -0.31660000000000016	Avg. Q: 0.7518430333667331	Greedinessless: 0.02	Vanilla reward: -320.000
Episode reward: -0.750	Steps: 7550	Avg. loss: 0.002096692413416397	Avg. reward: -0.3311000000000002	Avg. Q: 0.7472264030244615	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: 0.680	Steps: 7583	Avg. loss: 0.0010183119652538153	Avg. reward: -0.3168000000000002	Avg. Q: 0.7803612224983446	Greedinessless: 0.02	Vanilla reward: -76.000
Episode reward: -0.750	Steps: 7658	Avg. loss: 0.002651135418426221	Avg. reward: -0.31680000000000014	Avg. Q: 0.7558465629153781	Greedinessless: 0.02	Vanilla reward: -365.000
Episode reward: -0.750	Steps: 7733	Avg. loss: 0.0009462905051661533	Avg. reward: -0.3310000000000002	Avg. Q: 0.761756510204739	Greedinessless: 0.02	Vanilla reward: -305.000
